coverage,type(n-emitter),material(TeO2),firing(peak),current,sheet resistivity,contact resistivity
15.6,1,1,1,1,80,7.3
21.7,1,1,1,1,80,5.5
4.5,1,0,1,1,70,326.44
17.4,1,0,1,1,70,5.37
28.8,1,0,1,1,70,0.45
1.1,1,0,1,1,90,363
1.5,0,0,1,1,145,48.3
2.9,0,0,1,1,90,108
3.1,0,0,1,1,75,45.5
6.7,0,0,1,1,75,33.9
7.4,0,0,1,1,145,31.9
7.4,0,0,1,1,90,25.2
7.8,0,0,1,1,75,26.6
11.4,0,0,1,1,90,5.66
13,0,0,1,1,90,10.2
13.8,0,0,1,1,75,3.3
16.2,0,0,1,1,145,17.2
21.2,0,0,1,1,90,0.021
21.2,0,0,1,1,90,22.2
22.3,0,0,1,1,145,1.8
22.5,0,0,1,1,90,0.373
17.2,1,1,0,1,90,651
25.5,1,1,0,1,90,1
23,1,0,0,1,90,984.9
24.2,1,0,0,1,90,1.1
0.33,1,1,1,0,65,157.3
3.7,1,1,1,0,80,42.4
17.9,1,1,1,0,80,24.3
18.4,1,1,1,0,80,3.16
19.4,1,1,1,0,80,0.69
22.4,1,1,1,0,80,1.09
24.2,1,1,1,0,80,2.37
27.9,1,1,1,0,65,2.9
30.5,1,1,1,0,80,3.05
34.4,1,1,1,0,80,2.84
37.6,1,1,1,0,80,1.95
38.2,1,1,1,0,80,1.32
39.9,1,1,1,0,80,1.12
12.4,1,1,0,0,90,590.3
18.7,1,1,0,0,90,42.2
27.7,1,1,0,0,90,4.7
17,1,0,0,0,90,311.4
26.5,1,0,0,0,90,59.5
