y_test,MLPRegressor,LGBMRegressor,RandomForestRegressor,GradientBoostingRegressor,XGBRegressor,CatBoostRegressor
75.53333333,73.40923361728247,74.06912906698487,73.6623999997,72.07307474304532,73.05107,71.74497408402883
61.3,58.18355518951258,60.74237388093059,61.86353333406018,62.51448371116504,62.601276,60.78019298678172
68.7,73.4728225130291,64.3193048102131,73.33379999950014,72.44890631278231,71.69769,68.68067427740078
96.63333333,92.78683564186277,97.73072680683232,96.90833333523996,94.1101815461904,94.577446,94.85600494328884
101.4666667,97.58776213517991,88.75388223273444,92.37406666246014,87.7009277166894,86.93944,87.09694219971557
63.16666667,60.56880391398575,61.186680454127895,62.52166666790004,59.638859501794286,60.0541,63.31216531889645
69.43333333,72.75006361038695,69.77212848717494,72.52179999966025,69.78825358737814,71.19296,73.21008284352587
96.26666667,93.97930003572806,97.4482224053458,94.96886666630044,97.78913758108295,98.235466,96.51005880666692
61.46666667,59.60383622206146,60.75600318211372,62.31813333432,60.48300962507172,59.072273,61.05607851947421
111.5333333,108.74279882520638,111.88488006831602,105.3677333211997,104.49246646835644,108.61649,108.6526733911705
101.4333333,99.54992187950236,97.73072680683232,97.80573332033964,100.2785898538868,98.312225,98.04323352906091
59.53333333,57.83036053685217,61.62505407500962,61.74133333348007,59.1243456148276,63.11579,61.299935455934445
93.53333333,89.1124015011077,86.94422205601572,84.60486666437994,85.07195101760338,84.868385,83.94145822046586
62.36666667,63.62327811585505,60.30420855186202,63.90246666722021,62.47137713961117,61.13775,60.30870362169797
78.53333333,80.65870398053072,80.44451485855879,81.08579999939995,80.11309815598155,81.87614,80.69753026209455
111.4,101.55421919014351,102.51379174721646,105.38853332922052,101.71310793838194,104.50278,108.19194776808118
93.5,92.05141048282935,94.28799125189768,85.05279999852014,86.53126421807853,85.30577,87.36223667034417
84.73333333,80.79761535715558,83.00939467565355,81.87646666543993,80.56960980545743,82.39832,81.81881480500864
68.2,63.925327945236525,69.70179736709522,68.83473333283997,69.13078685818041,70.29371,70.29038731821562
87.76666667,86.08337571236162,85.54302216082955,84.71560000008027,84.52116163570714,84.740234,85.05300177243932
69.7,67.06322721500591,71.28395408050127,70.66793333242012,74.15317674615122,72.03091,71.78953905708977
63.6,59.467585612202846,61.44440089310614,62.50246666822012,60.163836738725735,60.339172,62.5725800734476
87.7,86.6068772035281,84.34116495247963,85.52533333505991,85.4773575287852,86.41699,86.80557236884619
141.1,152.96920900562543,124.57626632492686,133.66780000174066,127.16509450482307,130.95795,151.3916329934719
48.26666667,60.65639330305994,51.01816529354091,53.45993333433975,54.48941817734888,49.936745,50.2386083217397
150.0666667,141.69723762652754,119.87821499485476,123.39773333628033,114.22874866471102,115.30149,120.47001398256457
93.93333333,99.81721466073748,99.61293608507012,103.93699999618046,101.33607887461204,102.699615,105.91271407071896
96.16666667,99.93926188710816,99.61293608507012,103.84419999542054,101.66703252424148,104.68695,106.0522866708913
79.1,72.25009533621206,75.14874778072196,74.71539999966006,73.44373069734348,75.81083,74.25280758206479
88.56666667,85.21167989238639,86.5749453283323,85.27313333502029,85.64749840306634,84.82902,85.85013866693012
61.86666667,59.99630491417265,59.3635258607498,62.34040000079992,61.09072323182622,60.1824,59.90828283169206
75.63333333,81.95362750929105,70.67063851811743,68.89506666608021,73.95209765851489,71.46211,70.80446199263488
74.76666667,70.94207033380064,71.75727420833005,73.5739999991602,72.16768571917693,72.2393,74.16168244923722
109.7333333,105.57807874875364,112.20130136001666,106.85919998104058,105.8833108468108,107.29405,109.10399390456573
100.6,91.45027825909293,95.09770459917678,96.3468666665006,101.45543177228896,98.71913,97.86385710497277
110.5,106.25929211541953,107.02084958540266,103.45779999834032,111.84608820105775,115.87277,104.86921336585556
81.46666667,70.88866049850533,64.04731086144291,72.77273333248014,70.25225509633918,70.31761,73.30354132998494
161.1,168.65613593657085,130.81381778827736,121.0858000023804,130.73862864118908,125.94353,118.10497892875364
81.73333333,76.659195681404,74.06190858358374,74.62433333294017,74.01638613330695,74.582726,75.24107938800984
